gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition,homeBreak,awayBreak
2014R506,2014,5,2014-04-20,Adelaide Oval,12:40 PM,44770,Adelaide,137,Greater Western Sydney,72,0.0,2,1,0,2,0,2,3,190,155,-3.995833333333323,-16.693744164332394,78.27272727272727,68.93181818181819,72.18825757575756,72.7590909090909,74.20474439775909,70.90932045338796,11,18,361,430,83.95348837,349,319,109.4043887,15,8,7,8
2014R507,2014,5,2014-04-20,M.C.G.,3:20 PM,17243,Melbourne,78,Gold Coast,86,0.0,0,1,0,0,0,1,1,-25,-39,-9.958333333333336,-29.25,67.86363636363636,71.20454545454545,66.8625,70.13863636363637,69.22897698706522,68.77974232392681,17,14,209,328,63.7195122,289,365,79.17808219,16,11,8,8
2014R508,2014,5,2014-04-20,Docklands,4:40 PM,27986,Western Bulldogs,91,Carlton,119,0.0,0,1,0,0,0,3,4,141,-348,9.593277310924364,-21.233583603896108,69.04545454545455,63.09090909090909,69.14204545454545,73.29659090909091,69.65104034037857,73.00421973302988,15,8,333,398,83.66834171,288,437,65.90389016,10,17,8,8
2014R509,2014,5,2014-04-21,M.C.G.,3:20 PM,80222,Geelong,106,Hawthorn,87,0.0,2,1,1,0,1,1,3,39,-46,29.84615384615384,2.518048128342258,77.88636363636364,88.8409090909091,77.68863636363638,81.17045454545455,77.96333399035605,80.65665570132481,2,1,406,257,157.9766537,514,305,168.5245902,2,1,9,9
2014R601,2014,6,2014-04-25,M.C.G.,2:40 PM,91731,Collingwood,83,Essendon,60,0.0,2,1,0,0,0,0,3,0,57,0.0,-0.1966817496229254,57.40909090909091,65.6590909090909,67.61363636363637,74.39848484848486,73.295649075746,76.73285041236247,6,9,414,402,102.9850746,448,401,111.7206983,6,10,6,6
2014R602,2014,6,2014-04-25,Wellington,7:45 PM,13409,St Kilda,79,Brisbane Lions,82,0.0,0,1,0,0,3,1,5,140,-198,-2.75,19.466127450980395,66.52272727272727,57.86363636363637,69.35454545454546,63.42727272727272,70.4015827309945,61.845011728467604,16,12,352,423,83.21513002,329,611,53.84615385,9,18,6,8
2014R603,2014,6,2014-04-25,Subiaco,6:45 PM,37624,Fremantle,61,North Melbourne,74,0.2,0,0,0,3,0,2,4,67,195,25.183333333333323,8.451208513708508,68.5909090909091,64.47727272727273,69.40909090909089,70.69999999999999,73.17080010378808,71.54022616422965,3,10,470,374,125.6684492,389,384,101.3020833,5,7,6,6
2014R604,2014,6,2014-04-26,Carrara,1:40 PM,11504,Gold Coast,134,Greater Western Sydney,94,0.0,2,1,0,2,0,1,2,0,-133,41.125,24.558333333333337,69.0,65.52272727272727,68.32954545454545,69.20454545454544,67.332710544959,68.34085653651162,14,18,375,443,84.65011287,421,456,92.3245614,8,14,6,6
2014R605,2014,6,2014-04-26,Docklands,4:40 PM,31005,Carlton,92,West Coast,89,0.0,2,1,0,4,0,6,3,79,357,13.125850715188946,-6.6111111111111,64.72727272727273,70.63636363636364,70.37954545454545,77.76818181818182,70.2930841562236,74.43229766215273,8,13,407,528,77.08333333,428,334,128.1437126,16,4,6,7
2014R606,2014,6,2014-04-26,M.C.G.,7:40 PM,24855,Melbourne,38,Sydney,69,0.0,0,0,1,2,0,3,1,-148,-322,-0.3648504273504258,-31.692307692307693,66.3409090909091,78.06818181818181,66.45757575757577,79.15340909090911,69.02532807173516,77.17540084506996,17,4,287,414,69.3236715,410,425,96.47058824,17,13,6,7
2014R607,2014,6,2014-04-27,Docklands,1:10 PM,17404,Western Bulldogs,83,Adelaide,92,0.0,0,0,1,2,0,3,1,69,131,15.8365800865801,34.214285714285715,68.0909090909091,76.9090909090909,67.87272727272727,70.98371212121211,69.13616910861053,73.32073691506916,15,11,424,517,82.01160542,498,502,99.20318725,15,12,7,7
