gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall,homeWin,homeTeamLastWin,awayTeamLastWin,awayTravel,homeTravel,homeTeamChanges,awayTeamChanges,homeGameDifference,awayGameDifference,homeTeamImportanceDifference,awayTeamImportanceDifference,homeTeamImportanceLastGame,awayTeamImportanceLastGame,homeTeamImportanceLastFiveGames,awayTeamImportanceLastFiveGames,homeTeamImportanceSeasonAverage,awayTeamImportanceSeasonAverage,homeLadderPosition,awayLadderPosition,homeTeamPointsFor,homeTeamPointsAgainst,homeTeamPercentage,awayTeamPointsFor,awayTeamPointsAgainst,awayTeamPercentage,homeCurrentLadderPosition,awayCurrentLadderPosition
2019R709,2019,7,5/05/2019,Adelaide Oval,4:10 PM,42383,Adelaide,51,Fremantle,34,0,2,1,1,3,0,1,0,-247,0,-12.65,0,65.04545455,57.90909091,73.89090909,71.9030303,76.23657907,72.77278365,12,14,493,433,113.8568129,520,406,128.0788177,9,2
2019R801,2019,8,10/05/2019,S.C.G.,7:50 PM,26502,Sydney,77,Essendon,72,0,2,0,0,2,0,1,4,106,-1,26.3,10.675,73.25,68.68181818,72.22727273,69.05909091,73.66010856,71.73004506,6,11,525,656,80.0304878,586,582,100.6872852,18,11
2019R802,2019,8,11/05/2019,M.C.G.,1:45 PM,69289,Carlton,87,Collingwood,106,9.8,0,0,1,0,0,3,2,-57,91,-3.007417582,19.40840336,55.36363636,80.86363636,68.84090909,81.88636364,69.67349103,79.35286577,18,3,518,607,85.33772652,633,499,126.8537074,17,2
2019R803,2019,8,11/05/2019,Eureka Stadium,1:45 PM,9039,Western Bulldogs,92,Brisbane Lions,76,13,2,1,1,0,1,2,2,-88,92,26.52256944,11.12173203,71.68181818,74.47727273,72.96477273,76.73636364,72.78222449,74.81292008,13,15,545,544,100.1838235,656,613,107.0146819,12,4
2019R804,2019,8,11/05/2019,Carrara,4:35 PM,9765,Gold Coast,60,Melbourne,61,0,0,0,1,3,0,4,1,-72,-41,-0.966322055,-20.82017544,62.79545455,73.93181818,66.30454545,69.33181818,68.19209471,70.45991428,17,5,442,578,76.47058824,495,675,73.33333333,14,16
2019R805,2019,8,11/05/2019,Docklands,7:25 PM,24246,St Kilda,70,West Coast,88,9.8,0,0,1,4,0,3,1,-232,187,-5.892933455,5.471428571,63.25,67.25,70.27727273,69.53977273,71.50818762,71.15502253,16,2,534,555,96.21621622,508,542,93.72693727,8,10
2019R806,2019,8,11/05/2019,Adelaide Oval,7:10 PM,49675,Port Adelaide,68,Adelaide,88,1,0,0,1,0,0,4,1,73,122,31.395306,11.53461538,69.15909091,65,70.42727273,73.83636364,71.70744815,75.94084518,10,12,609,572,106.4685315,544,467,116.4882227,7,6
2019R807,2019,8,12/05/2019,Docklands,1:10 PM,21156,North Melbourne,80,Geelong,104,0.1,0,1,1,1,0,2,2,323,-99,34.48235294,-39.33653846,69.88636364,76.40909091,69.46969697,72.89545455,70.61644861,75.23461653,9,8,538,660,81.51515152,675,455,148.3516484,15,1
2019R808,2019,8,12/05/2019,M.C.G.,3:20 PM,14636,Hawthorn,71,Greater Western Sydney,38,0.1,2,0,1,2,0,5,4,385,-59,9.059139635,-16.52372199,66.84090909,77.97727273,72.13636364,78.39545455,71.99669487,77.85270286,4,7,587,586,100.1706485,684,550,124.3636364,13,3
2019R809,2019,8,12/05/2019,Perth Stadium,3:20 PM,42641,Fremantle,86,Richmond,111,0,0,0,0,3,0,1,2,35,68,4.022727273,23.32125043,59.61363636,63.81818182,71.93522727,71.1,72.75009744,70.48185388,14,1,554,457,121.2253829,564,599,94.15692821,5,9
2019R901,2019,9,17/05/2019,Perth Stadium,6:10 PM,51162,West Coast,85,Melbourne,69,1.8,2,1,1,3,0,2,4,87,532,-21.03344474,1.469417735,71.81818182,71.34090909,72.81818182,69.14090909,73.58909961,70.75139268,2,5,596,612,97.38562092,556,735,75.6462585,7,15
2019R902,2019,9,18/05/2019,M.C.G.,1:45 PM,60702,Collingwood,112,St Kilda,71,0,2,1,0,0,0,3,2,-223,95,3.893605006,23.28928571,73.31818182,62.18181818,81.24090909,68.28863636,78.54189276,69.72578096,3,16,739,586,126.109215,604,643,93.93468118,2,12
2019R903,2019,9,18/05/2019,Gabba,2:10 PM,20405,Brisbane Lions,93,Adelaide,92,1.6,2,0,1,3,0,3,2,288,-119,3.235380117,28.56096681,71.22727273,62.20454545,75.09545455,71.11363636,74.3346628,73.47776837,15,12,732,705,103.8297872,632,535,118.1308411,5,3
