gameId,team,year,round,playerId,displayName,gameNumber,Disposals,Kicks,Marks,Handballs,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50s,Clearances,Clangers,Frees,Frees Against,Brownlow Votes,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Played,Subs
2015R409,Adelaide,2015,R4,2013762245,Laird. Rory,38,15,8,3,7,0,0,0,0,4,0,1,3,2,0,0,8,7,0,0,0,0,0,55,Off
2015R409,Adelaide,2015,R4,2010763943,Lynch. Tom,41,20,11,8,9,0,0,0,4,1,6,1,2,0,0,0,6,14,0,0,1,1,0,90,-
2015R409,Adelaide,2015,R4,2012767797,Lyons. Jarryd,24,8,3,2,5,0,0,0,0,1,1,1,1,0,0,0,3,5,0,0,1,0,0,24,On
2015R409,Adelaide,2015,R4,2008774238,Mackay. David,128,14,8,3,6,0,1,0,0,2,4,0,3,0,1,0,1,12,0,0,3,2,1,87,-
2015R409,Adelaide,2015,R4,2009835778,Sloane. Rory,104,21,11,3,10,0,1,0,1,1,3,5,3,0,2,0,12,9,0,0,3,2,1,80,-
2015R409,Adelaide,2015,R4,2011832909,Smith. Brodie,80,20,17,6,3,0,1,0,0,8,4,0,4,0,1,0,2,16,1,1,3,1,0,83,-
2015R409,Adelaide,2015,R4,2011843284,Talia. Daniel,80,9,5,3,4,0,0,0,4,2,1,0,1,0,0,0,3,5,1,0,10,0,0,94,-
2015R409,Adelaide,2015,R4,2001849962,Thompson. Scott,266,38,20,5,18,1,0,0,3,4,6,11,2,2,2,0,21,16,0,0,1,0,0,88,-
2015R409,Adelaide,2015,R4,2009877055,Walker. Taylor,88,9,7,5,2,1,0,0,0,0,3,0,4,0,1,0,2,7,0,1,0,0,0,92,-
2015R409,Adelaide,2015,R4,2011872696,Wright. Matthew,82,19,9,6,10,0,0,0,4,2,1,2,2,0,1,0,7,11,1,2,0,0,2,81,-
2015R409,Adelaide,2015,R4,20051181200,van Berlo. Nathan,186,11,8,4,3,0,0,0,4,1,2,0,1,0,0,0,3,8,0,0,0,0,1,77,-
2015R509,Adelaide,2015,R5,2005667052,Betts. Eddie,211,19,14,7,5,5,3,0,2,0,4,1,3,0,0,0,9,11,1,5,0,0,0,85,-
2015R509,Adelaide,2015,R5,2012662083,Brown. Luke,51,10,6,2,4,0,0,0,1,2,1,0,1,1,1,0,4,6,0,0,0,0,0,79,-
2015R509,Adelaide,2015,R5,2014678070,Cameron. Charlie,11,6,3,1,3,0,0,0,3,0,2,0,3,0,2,0,4,4,0,0,0,2,0,86,-
2015R509,Adelaide,2015,R5,2009675555,Cheney. Kyle,44,11,7,4,4,0,0,0,2,1,0,0,2,2,2,0,1,10,0,0,5,0,0,100,-
2015R509,Adelaide,2015,R5,2008681760,Dangerfield. Patrick,136,36,19,1,17,0,1,1,7,1,7,14,7,2,2,3,21,15,0,0,1,2,0,82,-
2015R509,Adelaide,2015,R5,2006687579,Douglas. Richard,160,16,10,2,6,0,0,0,5,1,4,1,1,0,1,0,4,13,0,0,1,0,0,88,-
2015R509,Adelaide,2015,R5,2014697406,Ellis-Yolmen. Cam,6,18,11,4,7,0,0,1,10,2,6,8,3,2,1,0,13,6,0,0,2,0,2,71,-
2015R509,Adelaide,2015,R5,2010728130,Henderson. Ricky,69,21,13,4,8,0,0,0,1,1,5,2,1,0,0,0,7,15,0,0,2,0,2,67,-
2015R509,Adelaide,2015,R5,2009748959,Jacobs. Sam,109,7,5,2,2,0,0,29,2,0,2,3,0,0,0,0,3,4,0,0,0,0,0,90,-
2015R509,Adelaide,2015,R5,2010744089,Jaensch. Matthew,72,15,10,4,5,0,1,0,4,1,3,0,4,0,1,0,5,9,0,0,1,1,1,85,-
2015R509,Adelaide,2015,R5,2012743763,Jenkins. Josh,53,7,3,1,4,2,0,8,1,0,2,2,2,0,1,0,2,5,0,1,4,0,0,81,-
2015R509,Adelaide,2015,R5,2015754078,Kelly. Jake,3,12,7,3,5,0,0,0,1,3,1,0,2,1,1,0,5,7,0,0,2,0,0,96,-
2015R509,Adelaide,2015,R5,2013762245,Laird. Rory,39,26,13,2,13,0,0,0,2,3,1,2,1,1,1,0,7,18,0,0,1,0,0,84,-
2015R509,Adelaide,2015,R5,2010763943,Lynch. Tom,42,24,13,6,11,2,1,0,1,0,6,0,4,0,2,0,8,18,0,2,2,0,2,87,-
2015R509,Adelaide,2015,R5,2008774238,Mackay. David,129,20,13,5,7,0,1,0,3,2,7,1,1,1,0,0,1,18,0,0,1,2,1,86,-
2015R509,Adelaide,2015,R5,2009835778,Sloane. Rory,105,12,6,4,6,0,0,0,6,1,3,1,0,1,0,0,7,5,1,0,2,0,0,65,Off
2015R509,Adelaide,2015,R5,2011832909,Smith. Brodie,81,16,12,4,4,0,2,0,2,0,7,0,3,0,0,0,3,12,0,0,3,1,1,86,-
