year,round,player,team,score
2012,2,Martin Clarke,Magpies,71
2012,2,Todd Goldstein,Kangaroos,71
2012,2,Josh Caddy,Suns,70
2012,2,Brodie Smith,Crows,70
2012,2,Luke Power,Giants,70
2012,2,Michael Hibberd,Bombers,70
2012,2,Danyle Pearce,Power,69
2012,2,Jeff Garlett,Blues,69
2012,2,Jake Melksham,Bombers,69
2012,2,Jarrad Grant,Bulldogs,69
2012,2,Hamish Hartlett,Power,69
2012,2,Jake Carlisle,Bombers,68
2012,2,Sam Reid Injured,Swans,68
2012,2,Bret Thornton,Blues,68
2012,2,Dustin Fletcher,Bombers,68
2012,2,Jarryd Roughead,Hawks,68
2012,2,Simon Black,Lions,67
2012,2,Greg Broughton,Dockers,67
2012,2,Brad Sewell,Hawks,67
2012,2,Zach Tuohy,Blues,67
2012,2,Luke Russell,Suns,67
2012,2,Michael Barlow,Dockers,67
2012,2,Ryan Lester,Lions,66
2012,2,Ashley Smith,Eagles,66
2012,2,Heath Shaw,Magpies,66
2012,2,Brent Guerra,Hawks,66
2012,2,Kepler Bradley,Dockers,66
2012,2,Shane Savage,Hawks,66
2012,2,Ivan Maric,Tigers,66
2012,2,Jack Grimes,Demons,65
2012,2,Lynden Dunn,Demons,65
