gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeamScore,awayTeam,awayTeamScore,rainfall
2016R901,2016,9,20-May-16,M.C.G.,7:50 PM,61552,Hawthorn,55,Sydney,69,1.2
2016R902,2016,9,21-May-16,M.C.G.,1:45 PM,59864,Collingwood,104,Geelong,80,0.0
2016R903,2016,9,21-May-16,Carrara,2:10 PM,11692,Gold Coast,74,Adelaide,149,nan
2016R904,2016,9,21-May-16,Adelaide Oval,4:05 PM,38695,Port Adelaide,86,West Coast,94,0.0
2016R905,2016,9,21-May-16,Docklands,7:25 PM,38419,North Melbourne,113,Carlton,46,0.0
2016R906,2016,9,21-May-16,Subiaco,5:40 PM,20184,Fremantle,45,Richmond,83,36.4
2016R907,2016,9,22-May-16,M.C.G.,1:10 PM,26892,Melbourne,131,Brisbane Lions,68,0.0
2016R908,2016,9,22-May-16,Sydney Showground,3:20 PM,9612,Greater Western Sydney,98,Western Bulldogs,73,0.0
2016R909,2016,9,22-May-16,Docklands,4:40 PM,29026,St Kilda,109,Essendon,63,0.0
2016R1001,2016,10,27-May-16,S.C.G.,7:50 PM,38498,Sydney,91,North Melbourne,65,0.2
2016R1002,2016,10,28-May-16,Gabba,1:45 PM,23691,Brisbane Lions,87,Hawthorn,135,0.0
2016R1003,2016,10,28-May-16,Traeger Park,1:40 PM,5146,Melbourne,76,Port Adelaide,121,0.0
2016R1004,2016,10,28-May-16,Docklands,4:35 PM,17927,St Kilda,101,Fremantle,67,0.6
2016R1005,2016,10,28-May-16,M.C.G.,7:25 PM,56948,Essendon,67,Richmond,105,0.6
2016R1006,2016,10,28-May-16,Adelaide Oval,7:10 PM,46737,Adelaide,107,Greater Western Sydney,85,13.2
2016R1007,2016,10,29-May-16,Docklands,1:10 PM,33535,Carlton,104,Geelong,85,3.4
2016R1008,2016,10,29-May-16,M.C.G.,3:20 PM,45078,Collingwood,53,Western Bulldogs,74,3.4
2016R1009,2016,10,29-May-16,Subiaco,2:40 PM,34945,West Coast,132,Gold Coast,55,0.4
2016R1101,2016,11,3-Jun-16,Bellerive Oval,7:50 PM,17844,North Melbourne,124,Richmond,54,0.0
2016R1102,2016,11,4-Jun-16,M.C.G.,1:45 PM,41833,Hawthorn,82,Melbourne,64,7.0
2016R1103,2016,11,4-Jun-16,Docklands,2:10 PM,30722,Carlton,102,Brisbane Lions,64,7.0
2016R1104,2016,11,4-Jun-16,Kardinia Park,4:35 PM,22007,Geelong,98,Greater Western Sydney,88,4.8
2016R1105,2016,11,4-Jun-16,Carrara,7:25 PM,4368,Gold Coast,41,Sydney,79,73.0
2016R1106,2016,11,4-Jun-16,Subiaco,5:40 PM,31199,Fremantle,126,Essendon,47,8.6
2016R1107,2016,11,5-Jun-16,M.C.G.,1:10 PM,28567,Collingwood,58,Port Adelaide,125,4.4
2016R1108,2016,11,5-Jun-16,Docklands,3:20 PM,28769,Western Bulldogs,83,West Coast,75,4.4
2016R1109,2016,11,5-Jun-16,Adelaide Oval,4:10 PM,40896,Adelaide,133,St Kilda,45,0.6
2016R1201,2016,12,10-Jun-16,Docklands,7:50 PM,27567,Essendon,43,Hawthorn,151,0.4
2016R1202,2016,12,11-Jun-16,Adelaide Oval,1:10 PM,40096,Port Adelaide,97,Western Bulldogs,100,0.6
2016R1203,2016,12,11-Jun-16,Gabba,4:35 PM,12899,Brisbane Lions,64,Fremantle,147,0.0
2016R1204,2016,12,11-Jun-16,Docklands,7:25 PM,44025,Geelong,105,North Melbourne,74,2.6
2016R1205,2016,12,11-Jun-16,Subiaco,5:40 PM,37591,West Coast,76,Adelaide,105,2.0
2016R1206,2016,12,12-Jun-16,Docklands,1:10 PM,47945,St Kilda,110,Carlton,78,0.8
2016R1207,2016,12,12-Jun-16,M.C.G.,3:20 PM,30448,Richmond,114,Gold Coast,97,0.8
2016R1208,2016,12,12-Jun-16,Sydney Showground,4:40 PM,21541,Greater Western Sydney,105,Sydney,63,0.0
2016R1209,2016,12,13-Jun-16,M.C.G.,3:20 PM,60158,Melbourne,104,Collingwood,58,0.2
2016R1301,2016,13,17-Jun-16,Docklands,7:50 PM,37073,North Melbourne,84,Hawthorn,93,5.4
2016R1302,2016,13,18-Jun-16,Gabba,1:40 PM,12777,Brisbane Lions,82,West Coast,131,0.0
2016R1303,2016,13,18-Jun-16,Subiaco,2:35 PM,32448,Fremantle,86,Port Adelaide,69,0.0
2016R1304,2016,13,18-Jun-16,Docklands,7:25 PM,41725,Western Bulldogs,43,Geelong,100,9.7
2016R1305,2016,13,19-Jun-16,S.C.G.,1:10 PM,19086,Sydney,86,Melbourne,31,1.0
2016R1306,2016,13,19-Jun-16,Docklands,4:40 PM,14463,Essendon,90,Greater Western Sydney,117,0.0
2016R1401,2016,14,23-Jun-16,Adelaide Oval,7:20 PM,37890,Adelaide,100,North Melbourne,67,2.8
2016R1402,2016,14,24-Jun-16,M.C.G.,7:50 PM,20320,Collingwood,85,Fremantle,37,16.8
2016R1403,2016,14,25-Jun-16,M.C.G.,1:40 PM,28883,Richmond,117,Brisbane Lions,75,3.0
2016R1404,2016,14,25-Jun-16,Sydney Showground,4:35 PM,10355,Greater Western Sydney,127,Carlton,65,0.6
2016R1405,2016,14,25-Jun-16,Docklands,7:25 PM,28745,St Kilda,93,Geelong,90,3.0
2016R1406,2016,14,26-Jun-16,York Park,3:20 PM,10121,Hawthorn,86,Gold Coast,60,0.0
2016R1501,2016,15,30-Jun-16,Subiaco,6:10 PM,33117,West Coast,130,Essendon,52,0.0
2016R1502,2016,15,1-Jul-16,Adelaide Oval,7:20 PM,37848,Port Adelaide,94,Richmond,56,3.4
2016R1503,2016,15,2-Jul-16,Carrara,1:40 PM,14071,Gold Coast,108,St Kilda,68,0.0
2016R1504,2016,15,2-Jul-16,S.C.G.,4:35 PM,33386,Sydney,79,Western Bulldogs,83,0.0
2016R1505,2016,15,2-Jul-16,M.C.G.,7:25 PM,56157,Carlton,45,Collingwood,57,0.8
2016R1506,2016,15,3-Jul-16,M.C.G.,3:20 PM,29133,Melbourne,98,Adelaide,120,0.0
2016R1601,2016,16,7-Jul-16,Adelaide Oval,7:20 PM,43025,Port Adelaide,79,Hawthorn,101,0.8
2016R1602,2016,16,8-Jul-16,Kardinia Park,7:50 PM,24339,Geelong,60,Sydney,98,6.8
2016R1603,2016,16,9-Jul-16,Sydney Showground,1:40 PM,13483,Greater Western Sydney,93,Collingwood,125,11.2
2016R1604,2016,16,9-Jul-16,Carrara,4:35 PM,13528,Gold Coast,139,Brisbane Lions,113,0.0
2016R1605,2016,16,9-Jul-16,Docklands,7:25 PM,39679,Western Bulldogs,85,Richmond,75,0.2
2016R1606,2016,16,9-Jul-16,Marrara Oval,7:10 PM,8163,Melbourne,87,Fremantle,55,0.0
2016R1607,2016,16,10-Jul-16,M.C.G.,1:10 PM,32430,Carlton,47,Adelaide,107,0.2
2016R1608,2016,16,10-Jul-16,Subiaco,1:20 PM,35618,West Coast,104,North Melbourne,72,29.8
2016R1609,2016,16,10-Jul-16,Docklands,4:40 PM,25204,Essendon,98,St Kilda,109,0.2
2016R1701,2016,17,14-Jul-16,S.C.G.,7:20 PM,42314,Sydney,70,Hawthorn,75,0.0
2016R1702,2016,17,15-Jul-16,Subiaco,6:10 PM,31042,Fremantle,61,Geelong,78,0.0
2016R1703,2016,17,16-Jul-16,M.C.G.,1:40 PM,44908,Richmond,102,Essendon,83,0.0
2016R1704,2016,17,16-Jul-16,Docklands,4:35 PM,24361,North Melbourne,77,Port Adelaide,105,0.0
2016R1705,2016,17,16-Jul-16,Cazaly's Stadium,7:25 PM,8509,Western Bulldogs,107,Gold Coast,59,0.2
2016R1706,2016,17,16-Jul-16,Adelaide Oval,7:10 PM,50002,Adelaide,97,Collingwood,69,0.0
2016R1707,2016,17,17-Jul-16,M.C.G.,1:10 PM,26389,Carlton,75,West Coast,82,0.0
2016R1708,2016,17,17-Jul-16,Docklands,3:20 PM,25322,St Kilda,110,Melbourne,74,0.0
2016R1709,2016,17,17-Jul-16,Gabba,4:40 PM,10195,Brisbane Lions,67,Greater Western Sydney,146,12.6
2016R1801,2016,18,22-Jul-16,Docklands,7:50 PM,36041,Collingwood,84,North Melbourne,124,8.2
2016R1802,2016,18,23-Jul-16,S.C.G.,1:45 PM,31765,Sydney,74,Carlton,68,6.8
2016R1803,2016,18,23-Jul-16,Carrara,2:10 PM,8933,Gold Coast,105,Fremantle,81,0.0
2016R1804,2016,18,23-Jul-16,Subiaco,2:35 PM,33908,West Coast,66,Melbourne,60,0.0
2016R1805,2016,18,23-Jul-16,Kardinia Park,7:25 PM,21127,Geelong,85,Adelaide,55,9.2
2016R1806,2016,18,23-Jul-16,Docklands,7:25 PM,26532,Western Bulldogs,60,St Kilda,75,4.0
2016R1807,2016,18,24-Jul-16,Docklands,1:10 PM,34869,Essendon,91,Brisbane Lions,128,1.2
2016R1808,2016,18,24-Jul-16,M.C.G.,3:20 PM,51892,Hawthorn,114,Richmond,44,1.2
2016R1809,2016,18,24-Jul-16,Adelaide Oval,4:10 PM,27935,Port Adelaide,60,Greater Western Sydney,79,1.6
2016R1901,2016,19,29-Jul-16,Kardinia Park,7:50 PM,24331,Geelong,103,Western Bulldogs,78,0.0
2016R1902,2016,19,30-Jul-16,Manuka Oval,1:45 PM,14974,Greater Western Sydney,111,Richmond,23,0.0
2016R1903,2016,19,30-Jul-16,York Park,2:10 PM,18112,Hawthorn,74,Carlton,55,0.2
2016R1904,2016,19,30-Jul-16,M.C.G.,4:35 PM,34929,Collingwood,91,West Coast,72,2.2
