year,round,displayName,team,score
2017,1,benjamin stratton,Hawthorn,44
2017,1,tim taranto,Greater Western Sydney,44
2017,1,zac dawson,Fremantle,43
2017,1,bachar houli,Richmond,43
2017,1,bradley sheppard,West Coast,43
2017,1,jimmy webster,St Kilda,43
2017,1,jack watts,Melbourne,43
2017,1,declan mountford,North Melbourne,43
2017,1,darcy tucker,Fremantle,42
2017,1,josh gibson,Hawthorn,42
2017,1,jake kelly,Adelaide,42
2017,1,sam gray,Port Adelaide,42
2017,1,lewis jetta,West Coast,42
2017,1,eric mackenzie,West Coast,42
2017,1,tyson goldsack,Collingwood,42
2017,1,lachlan hansen,North Melbourne,42
2017,1,charlie curnow,Carlton,41
2017,1,matthew broadbent,Port Adelaide,40
2017,1,thomas boyd,Western Bulldogs,39
2017,1,robbie gray,Port Adelaide,38
2017,1,jackson thurlow,Geelong,38
2017,1,taylor duryea,Hawthorn,38
2017,1,mason cox,Collingwood,38
2017,1,cyril rioli,Hawthorn,38
2017,1,sam lloyd,Richmond,38
2017,1,marley williams,North Melbourne,37
2017,1,jordan foote,Sydney,37
2017,1,harrison macreadie,Carlton,36
2017,1,sebastian ross,St Kilda,36
2017,1,cameron mccarthy,Fremantle,36
2017,1,jy simpkin,North Melbourne,35
2017,1,james sicily,Hawthorn,35
2017,1,michael johnson,Fremantle,35
2017,1,dean towers,Sydney,33
2017,1,martin gleeson,Essendon,32
2017,1,joel hamling,Fremantle,32
2017,1,brett eddy,Port Adelaide,30
2017,1,darcy moore,Collingwood,29
2017,1,dennis armfield,Carlton,29
2017,1,jackson nelson,West Coast,28
2017,1,jarrod pickett,Carlton,28
2017,1,henry schade,Collingwood,27
2017,1,ryan harwood,Brisbane Lions,27
2017,1,taylor hunt,Richmond,25
2017,1,adam kennedy,Greater Western Sydney,25
2017,1,nathan wright,St Kilda,23
2017,1,joel smith,Melbourne,23
2017,1,mitchell hibberd,North Melbourne,23
2017,1,daniel robinson,Sydney,22
2017,1,daniel talia,Adelaide,19
2017,1,shane kersten,Fremantle,16
2017,1,tendai mzungu,Greater Western Sydney,0
2017,2,robbie gray,Port Adelaide,164
2017,2,rory sloane,Adelaide,146
